Date,Time,Record Information,Cycles,Load [kips],Boundary Conditions
7/6/2011,15:15,0,0,0,Baseline
7/6/2011,15:25,2,0,0,clamped
7/6/2011,15:33,1,0,0.502,loaded
7/6/2011,15:35,1,0,1.002,loaded
7/6/2011,15:40,1,0,1.501,loaded
7/6/2011,15:42,1,0,1.997,loaded
7/6/2011,15:46,1,0,2.502,loaded
7/6/2011,15:50,1,0,3,loaded
7/6/2011,15:54,1,0,3.498,loaded
7/6/2011,15:57,1,0,4.007,loaded
7/6/2011,16:31,2,0,-0.003,clamped
7/6/2011,16:33,3,0,0,traction free
7/7/2011,10:48,3,0,0,traction free
7/7/2011,11:05,2,0,0,clamped
7/7/2011,11:08,1,0,0.505,loaded
7/7/2011,11:10,1,0,0.997,loaded
7/7/2011,11:13,1,0,1.502,loaded
7/7/2011,11:15,1,0,2,loaded
7/7/2011,11:17,1,0,2.504,loaded
7/7/2011,11:20,1,0,2.998,loaded
7/7/2011,11:22,1,0,3.498,loaded
7/7/2011,11:25,1,0,3.999,loaded
7/7/2011,11:31,1,0,4.5,loaded
7/7/2011,11:34,1,0,5.004,loaded
7/7/2011,11:36,1,0,5.498,loaded
7/7/2011,11:39,1,0,5.998,loaded
7/7/2011,11:42,1,0,6.501,loaded
7/7/2011,11:44,1,0,7.004,loaded
7/7/2011,12:13,2,0,-0.001,clamped
7/7/2011,12:15,3,1,0,traction free
7/8/2011,13:28,3,1,0,traction free
7/8/2011,13:35,2,1,0,Clamped
7/8/2011,13:40,1,1,3.997,loaded
7/8/2011,13:44,1,10,3.991,loaded
7/8/2011,14:06,2,10,0.002,clamped
7/8/2011,14:07,3,10,0,Traction Free
7/11/2011,9:09,3,10,0,Traction Free
7/11/2011,9:19,2,10,-0.001,Clamped
7/11/2011,9:23,1,10,3.999,Loaded
7/11/2011,9:30,1,100,3.993,Loaded
7/11/2011,9:57,2,100,0,Clamped
7/11/2011,10:00,3,100,0,Traction Free
7/11/2011,15:51,3,100,0,Traction Free
7/11/2011,16:01,2,100,-0.001,clamped
7/11/2011,16:07,1,100,3.998,Loaded
7/11/2011,16:15,1,1000,4.008,Loaded
7/11/2011,16:53,2,1000,-0.004,clamped
7/11/2011,16:57,1,1000,0,Traction Free
7/12/2011,9:27,3,1000,0,Traction free
7/12/2011,9:38,2,1000,0,Clamped
7/12/2011,9:47,1,1000,4,Loaded
7/12/2011,10:17,1,10000,4.013,Loaded
7/12/2011,10:43,2,10000,0,Clamped
7/12/2011,10:46,3,10000,0,Traction free
7/12/2011,16:15,3,10000,0,Traction free
7/12/2011,16:33,2,10000,-0.002,Clamped
7/12/2011,16:40,1,10000,4.004,Loaded
7/12/2011,17:18,1,20000,4.003,Loaded
7/12/2011,17:52,2,20000,0,Clamped
7/12/2011,17:57,3,20000,0,Traction free
7/13/2011,11:37,3,20000,0,Traction free
7/13/2011,11:42,2,20000,0.002,Clamped
7/13/2011,11:50,1,20000,4.001,Loaded
7/13/2011,12:58,2,30000,0,Clamped
7/13/2011,13:05,2,30000,0.005,Clamped
7/13/2011,13:09,1,30000,3.999,loaded
7/13/2011,13:11,2,30000,0.001,Clamped
7/13/2011,13:17,3,30000,0,Traction free
7/14/2011,9:02,3,30000,0,Traction Free
7/14/2011,9:18,2,30000,0,Clamped
7/14/2011,9:24,1,30000,4.002,Loaded
7/14/2011,9:59,1,40000,4.013,Loaded
7/14/2011,10:31,2,40000,0.002,Clamped
7/14/2011,10:36,3,40000,0,Traction Free
7/15/2011,14:24,3,40000,0,Traction Free
7/15/2011,14:28,2,40000,0.002,Clamped
7/15/2011,14:34,1,40000,4,Loaded
7/15/2011,15:11,1,50000,4.001,Loaded
7/15/2011,15:37,2,50000,0,Clamped
7/15/2011,15:40,3,50000,0,Traction Free
7/18/2011,10:07,3,50000,0,Traction Free
7/18/2011,10:20,2,50000,0,clamped
7/18/2011,10:26,1,50000,4,loaded
7/18/2011,11:01,1,60000,4.007,loaded
7/18/2011,11:24,2,60000,0.002,clamped
7/18/2011,11:27,3,60000,0,Traction Free
7/19/2011,8:45,3,60000,0,Traction Free
7/19/2011,8:52,2,60000,0,Clamped
7/19/2011,8:59,1,60000,3.999,Loaded
7/19/2011,9:34,1,70000,4.007,Loaded
7/19/2011,10:10,2,70000,0.003,Clamped
7/19/2011,10:15,3,70000,0,Traction Free
7/19/2011,16:58,3,70000,0,Traction Free
7/20/2011,9:08,3,70000,0,Traction Free
7/20/2011,9:16,2,70000,0.003,Clamped
7/20/2011,9:20,1,70000,4.001,loaded
7/20/2011,9:53,1,80000,4.016,loaded
7/20/2011,10:17,2,80000,0,Clamped
7/20/2011,10:21,3,80000,0,Traction Free
7/14/2011,9:19,3,80000,0,Traction free
7/14/2011,9:25,2,80000,0.001,Clamped
7/14/2011,9:27,1,80000,4,loaded
7/14/2011,10:01,1,90000,4.017,loaded
7/14/2011,10:21,2,90000,0,Clamped
7/14/2011,10:26,3,90000,0,Traction free
7/15/2011,10:18,3,90000,0,Traction free
7/15/2011,10:27,2,90000,0,Clamped
7/15/2011,10:33,1,90000,4,Loaded
7/15/2011,11:07,1,100000,4.014,Loaded
7/15/2011,11:23,2,100000,0,Clamped
7/15/2011,11:26,3,100000,0,Traction free
7/18/2011,11:16,3,100000,0,Traction free
7/18/2011,11:23,2,100000,0,Clamped
7/18/2011,11:50,1,100000,4,Loaded
7/18/2011,13:13,1,125000,4.005,Loaded
7/18/2011,13:30,2,125000,0,Clamped
7/18/2011,13:33,3,125000,0,Traction free
7/19/2011,11:41,3,125000,0,Traction free
7/19/2011,11:46,2,125000,0,Clamped
7/19/2011,11:52,1,125000,4.001,Loaded
7/19/2011,13:11,1,150000,4.008,Loaded
7/19/2011,13:24,2,150000,0,Clamped
7/19/2011,13:26,3,150000,0,Traction free
7/19/2011,15:14,3,150000,0,Traction Free
7/20/2011,15:23,2,150000,0,Clamped
7/20/2011,15:29,1,150000,4.001,Loaded
7/20/2011,16:48,1,175000,4.003,Loaded
7/20/2011,17:25,1,175000,0.002,Clamped
7/20/2011,17:30,3,175000,0,Traction Free
7/20/2011,10:28,3,175000,0,Traction Free
7/14/2011,15:30,2,177309,-0.001,Clamped
7/14/2011,15:33,2,177309,-0.001,Clamped
7/14/2011,15:38,3,177309,0,Traction Free
7/14/2011,15:43,3,177000,0,Traction Free
7/14/2011,15:52,2,177000,0.001,Clamped
7/14/2011,15:57,1,177000,4.003,Loaded
7/14/2011,16:36,1,227000,4.004,Loaded
7/14/2011,17:01,2,227000,0,Clamped
7/14/2011,17:04,3,227000,0,Traction Free
7/14/2011,11:43,3,227000,0,Traction Free
7/14/2011,11:50,2,227000,0,Clamped
